date,machine,Bearing No.,Shaft Speed of Motor (RPM),point,BPFO (Y9),BPFI (Y10),FTF (Y11),BSF (Y12),Severity of bearing defect (Y13)
2025-06-27,P-210S,Sleeve bearing ,1470,M1A,1,1,1,1,1.0
2025-06-27,P-210S,Sleeve bearing ,1470,M1V,1,1,1,1,1.0
2025-06-27,P-210S,Sleeve bearing ,1470,M1H,1,1,1,1,1.0
2025-06-27,P-210S,Sleeve bearing ,1470,M2A,1,1,1,1,1.0
2025-06-27,P-210S,Sleeve bearing ,1470,M2V,1,1,1,1,1.0
2025-06-27,P-210S,Sleeve bearing ,1470,M2H,1,1,1,1,1.0
2025-06-27,P-210S,7317BEGBM,1470,P3V,1,1,1,1,1.0
2025-06-27,P-210S,7317BEGBM,1470,P3H,1,1,1,1,1.0
2025-06-27,P-210S,6218C3,1470,P4A,1,1,1,1,1.0
2025-06-27,P-210S,6218C3,1470,P4V,1,1,1,1,1.0
2025-06-27,P-210S,6218C3,1470,P4H,1,1,1,1,1.0
2025-10-16,P-566S,6313C3,2900,M1A,1,1,1,1,1.0
2025-10-16,P-566S,6313C3,2900,M1V,1,1,1,1,1.0
2025-10-16,P-566S,6313C3,2900,M1H,1,1,1,1,1.0
2025-10-16,P-566S,6313C3,2900,M2A,1,1,1,1,1.0
2025-10-16,P-566S,6313C3,2900,M2V,1,1,1,1,1.0
2025-10-16,P-566S,6313C3,2900,M2H,1,1,1,1,1.0
2025-10-16,P-566S,7313,2900,P3V,1,1,1,1,1.0
2025-10-16,P-566S,7313,2900,P3H,1,1,1,1,1.0
2025-10-16,P-566S,6214C3,2900,P4A,1,1,1,1,1.0
2025-10-16,P-566S,6214C3,2900,P4V,1,1,1,1,1.0
2025-10-16,P-566S,6214C3,2900,P4H,1,1,1,1,1.0
2025-11-20,P-3602A,7310,2965,M1A,1,1,1,1,1.0
2025-11-20,P-3602A,7310,2965,M1V,1,1,1,1,1.0
2025-11-20,P-3602A,7310,2965,M1H,1,1,1,1,1.0
2025-11-20,P-3602A,6313,2965,M2A,1,1,1,1,1.0
2025-11-20,P-3602A,6313,2965,M2V,1,1,1,1,1.0
2025-11-20,P-3602A,6313,2965,M2H,1,1,1,1,1.0
2025-11-20,P-3602A,Bush,2965,P3V,1,1,1,1,1.0
2025-11-20,P-3602A,Bush,2965,P3H,1,1,1,1,1.0
2025-11-20,P-3602A,Bush,2965,P4A,1,1,1,1,1.0
2025-11-20,P-3602A,Bush,2965,P4V,1,1,1,1,1.0
