date,machine,Shaft Speed of Motor (RPM),point,BPFO (Y9),BPFI (Y10),FTF (Y11),BSF (Y12),Severity of bearing defect (Y13)
2025-06-27,P-210S,1470,M1A,1,1,1,1,1.0
2025-06-27,P-210S,1470,M1V,1,1,1,1,1.0
2025-06-27,P-210S,1470,M1H,1,1,1,1,1.0
2025-06-27,P-210S,1470,M2A,1,1,1,1,1.0
2025-06-27,P-210S,1470,M2V,1,1,1,1,1.0
2025-06-27,P-210S,1470,M2H,1,1,1,1,1.0
2025-06-27,P-210S,1470,P3V,1,1,1,1,1.0
2025-06-27,P-210S,1470,P3H,1,1,1,1,1.0
2025-06-27,P-210S,1470,P4A,1,1,1,1,1.0
2025-06-27,P-210S,1470,P4V,1,1,1,1,1.0
2025-06-27,P-210S,1470,P4H,1,1,1,1,1.0
2025-10-16,P-566S,2900,M1A,1,1,1,1,1.0
2025-10-16,P-566S,2900,M1V,1,1,1,1,1.0
2025-10-16,P-566S,2900,M1H,1,1,1,1,1.0
2025-10-16,P-566S,2900,M2A,1,1,1,1,1.0
2025-10-16,P-566S,2900,M2V,1,1,1,1,1.0
2025-10-16,P-566S,2900,M2H,1,1,1,1,1.0
2025-10-16,P-566S,2900,P3V,1,1,1,1,1.0
2025-10-16,P-566S,2900,P3H,1,1,1,1,1.0
2025-10-16,P-566S,2900,P4A,1,1,1,1,1.0
2025-10-16,P-566S,2900,P4V,1,1,1,1,1.0
2025-10-16,P-566S,2900,P4H,1,1,1,1,1.0
2025-11-20,P-3602A,2965,M1A,1,1,1,1,1.0
2025-11-20,P-3602A,2965,M1V,1,1,1,1,1.0
2025-11-20,P-3602A,2965,M1H,1,1,1,1,1.0
2025-11-20,P-3602A,2965,M2A,1,1,1,1,1.0
2025-11-20,P-3602A,2965,M2V,1,1,1,1,1.0
2025-11-20,P-3602A,2965,M2H,1,1,1,1,1.0
2025-11-20,P-3602A,2965,P3V,1,1,1,1,1.0
2025-11-20,P-3602A,2965,P3H,1,1,1,1,1.0
2025-11-20,P-3602A,2965,P4A,1,1,1,1,1.0
2025-11-20,P-3602A,2965,P4V,1,1,1,1,1.0
2025-11-20,P-3602A,2965,P4H,1,1,1,1,1.0
2025-11-07,P-4705A,1463,M1A,1,1,1,1,1.0
2025-11-07,P-4705A,1463,M1V,1,1,1,1,1.0
2025-11-07,P-4705A,1463,M1H,1,1,1,1,1.0
2025-11-07,P-4705A,1463,M2A,1,1,1,1,1.0
2025-11-07,P-4705A,1463,M2V,1,1,1,1,1.0
