date,machine,Shaft Speed of Motor (RPM),point,BPFO (Y9),BPFI (Y10),FTF (Y11),BSF (Y12),Severity of bearing defect (Y13)
6/27/2025,P-210S,1470,M1A,1,1,1,1,1
6/27/2025,P-210S,1470,M1V,1,1,1,1,1
6/27/2025,P-210S,1470,M1H,1,1,1,1,1
6/27/2025,P-210S,1470,M2A,1,1,1,1,1
6/27/2025,P-210S,1470,M2V,1,1,1,1,1
6/27/2025,P-210S,1470,M2H,1,1,1,1,1
6/27/2025,P-210S,1470,P3V,1,1,1,1,1
6/27/2025,P-210S,1470,P3H,1,1,1,1,1
6/27/2025,P-210S,1470,P4A,1,1,1,1,1
6/27/2025,P-210S,1470,P4V,1,1,1,1,1
6/27/2025,P-210S,1470,P4H,1,1,1,1,1
10/16/2025,P-566S,2900,M1A,1,1,1,1,1
10/16/2025,P-566S,2900,M1V,1,1,1,1,1
10/16/2025,P-566S,2900,M1H,1,1,1,1,1
10/16/2025,P-566S,2900,M2A,1,1,1,1,1
10/16/2025,P-566S,2900,M2V,1,1,1,1,1
10/16/2025,P-566S,2900,M2H,1,1,1,1,1
10/16/2025,P-566S,2900,P3V,1,1,1,1,1
10/16/2025,P-566S,2900,P3H,1,1,1,1,1
10/16/2025,P-566S,2900,P4A,1,1,1,1,1
10/16/2025,P-566S,2900,P4V,1,1,1,1,1
10/16/2025,P-566S,2900,P4H,1,1,1,1,1
11/20/2025,P-3602A,2965,M1A,1,1,1,1,1
11/20/2025,P-3602A,2965,M1V,1,1,1,1,1
11/20/2025,P-3602A,2965,M1H,1,1,1,1,1
11/20/2025,P-3602A,2965,M2A,1,1,1,1,1
11/20/2025,P-3602A,2965,M2V,1,1,1,1,1
11/20/2025,P-3602A,2965,M2H,1,1,1,1,1
11/20/2025,P-3602A,2965,P3V,1,1,1,1,1
11/20/2025,P-3602A,2965,P3H,1,1,1,1,1
11/20/2025,P-3602A,2965,P4A,1,1,1,1,1
11/20/2025,P-3602A,2965,P4V,1,1,1,1,1
11/20/2025,P-3602A,2965,P4H,1,1,1,1,1
11/7/2025,P-4705A,1463,M1A,1,1,1,1,1
11/7/2025,P-4705A,1463,M1V,1,1,1,1,1
11/7/2025,P-4705A,1463,M1H,1,1,1,1,1
11/7/2025,P-4705A,1463,M2A,1,1,1,1,1
11/7/2025,P-4705A,1463,M2V,1,1,1,1,1
11/7/2025,P-4705A,1463,M2H,1,1,1,1,1
11/7/2025,P-4705A,1463,P3V,1,1,1,1,1
11/7/2025,P-4705A,1463,P3H,1,1,1,1,1
11/7/2025,P-4705A,1463,P4A,1,1,1,1,1
11/7/2025,P-4705A,1463,P4V,1,1,1,1,1
11/7/2025,P-4705A,1463,P4H,1,1,1,1,1
7/24/2025,R-180,985,M1A,1,1,1,1,1
7/24/2025,R-180,985,M1V,1,1,1,1,1
7/24/2025,R-180,985,M1H,1,1,1,1,1
7/24/2025,R-180,985,M2A,1,1,1,1,1
7/24/2025,R-180,985,M2V,1,1,1,1,1
7/24/2025,R-180,985,M2H,1,1,1,1,1
7/24/2025,R-180,985,P3V,1,1,1,1,1
7/24/2025,R-180,985,P3H,1,1,1,1,1
7/24/2025,R-180,985,P4A,1,1,1,1,1
7/24/2025,R-180,985,P4V,1,1,1,1,1
7/24/2025,R-180,985,P4H,1,1,1,1,1
12/8/2025,P-478S,2975,M1A,1,1,1,1,1
12/8/2025,P-478S,2975,M1V,1,1,1,1,1
12/8/2025,P-478S,2975,M1H,1,1,1,1,1
12/8/2025,P-478S,2975,M2A,1,1,2,1,2
12/8/2025,P-478S,2975,M2V,1,1,2,1,2
12/8/2025,P-478S,2975,M2H,1,1,2,1,2
12/8/2025,P-478S,2975,P3V,1,1,1,1,1
12/8/2025,P-478S,2975,P3H,1,1,1,1,1
12/8/2025,P-478S,2975,P4A,1,1,1,1,1
12/8/2025,P-478S,2975,P4V,1,1,1,1,1
12/8/2025,P-478S,2975,P4H,1,1,1,1,1
12/9/2025,P-478S,2975,M1A,1,1,1,1,1
12/9/2025,P-478S,2975,M1V,1,1,1,1,1
12/9/2025,P-478S,2975,M1H,1,1,1,1,1
12/9/2025,P-478S,2975,M2A,1,1,2,1,2
12/9/2025,P-478S,2975,M2V,1,1,2,1,2
12/9/2025,P-478S,2975,M2H,1,1,2,1,2
12/9/2025,P-478S,2975,P3V,1,1,1,1,1
12/9/2025,P-478S,2975,P3H,1,1,1,1,1
12/9/2025,P-478S,2975,P4A,1,1,1,1,1
12/9/2025,P-478S,2975,P4V,1,1,1,1,1
12/9/2025,P-478S,2975,P4H,1,1,1,1,1
12/10/2025,P-478S,2975,M1A,1,1,1,1,1
12/10/2025,P-478S,2975,M1V,1,1,1,1,1
12/10/2025,P-478S,2975,M1H,1,1,1,1,1
12/10/2025,P-478S,2975,M2A,1,1,2,1,2
12/10/2025,P-478S,2975,M2V,1,1,2,1,2
12/10/2025,P-478S,2975,M2H,1,1,2,1,2
12/10/2025,P-478S,2975,P3V,1,1,1,1,1
12/10/2025,P-478S,2975,P3H,1,1,1,1,1
12/10/2025,P-478S,2975,P4A,1,1,1,1,1
12/10/2025,P-478S,2975,P4V,1,1,1,1,1
12/10/2025,P-478S,2975,P4H,1,1,1,1,1
12/12/2025,P-478S,2975,M1A,1,1,1,1,1
12/12/2025,P-478S,2975,M1V,1,1,1,1,1
12/12/2025,P-478S,2975,M1H,1,1,1,1,1
12/12/2025,P-478S,2975,M2A,1,1,2,1,2
12/12/2025,P-478S,2975,M2V,1,1,2,1,2
12/12/2025,P-478S,2975,M2H,1,1,2,1,2
12/12/2025,P-478S,2975,P3V,1,1,1,1,1
