date,machine,Shaft Speed of Motor (RPM),point,BPFO (Y9),BPFI (Y10),FTF (Y11),BSF (Y12),Severity of bearing defect (Y13),RMS,Peak,Kurtosis,Skewness,Crest_Factor
1/8/2025,G-511A,2990,M1H,3,1,2,2,3,0.5862587328690587,1.615,2.09810060969832,-0.032351584880761515,2.7547564060946983
1/8/2025,G-511A,2990,M1V,3,1,2,2,3,460.7562497980697,799.8,1.7976433912986334,0.00037071749445067345,1.735841891131198
1/8/2025,G-511A,2990,M2H,3,1,2,2,3,65.75475205770877,799.8,107.81408852941664,10.025734640280337,12.163379451238235
1/8/2025,G-511A,2990,M2V,3,1,2,2,3,0.1945745484569515,0.695,2.9455847576046894,0.047946130340946545,3.571895736166977
1/8/2025,G-511A,2990,M2A,3,1,2,2,3,0.3874836281193657,1.271,2.7014552012723634,-0.017376585650666212,3.280138585902948
1/8/2025,G-511A,2990,P1H,1,1,1,1,1,0.3360333212796819,1.72,4.2243130717945965,-0.045314107038583684,5.118540011002174
1/8/2025,G-511A,2990,P1V,1,1,1,1,1,446.9293772718155,799.8,1.734777126847977,0.04882129146817004,1.7895444798956996
1/8/2025,G-511A,2990,P2H,1,1,1,1,1,401.75979214975,799.8,1.7066479063280067,0.4006246729975909,1.9907417706495785
1/8/2025,G-511A,2990,P2V,1,1,1,1,1,169.9741216111389,638.9,8.625342597899293,2.6254344789448596,3.7588074816568486
1/8/2025,G-511A,2990,P2A,1,1,1,1,1,363.3312173899364,777.0,1.9187036274047,0.6492771716511346,2.138544564328211
1/17/2025,G-511A,2990,M1H,3,1,2,2,3,0.5888853620205301,1.632,2.162354811463496,-0.007887677355270462,2.7713373523166367
1/17/2025,G-511A,2990,M1V,3,1,2,2,3,0.3795747257449005,1.374,2.9103476943759414,0.03659870343326607,3.6198405921352617
1/17/2025,G-511A,2990,M2H,3,1,2,2,3,433.4016789660793,799.8,1.6798271456902734,0.13864630406896866,1.8454012497321157
1/17/2025,G-511A,2990,M2V,3,1,2,2,3,0.2771358846082507,0.799,2.395933048758254,-0.0033052797942729043,2.8830622246174924
1/17/2025,G-511A,2990,M2A,3,1,2,2,3,0.46102554457056066,1.426,2.7214018445478168,0.10116188959382641,3.093104095410376
11/8/2024,G-552,1490,M1H,3,1,1,2,3,897.0525057363847,1599.8,1.7425999516741673,0.0402461819119449,1.7833961666343425
11/8/2024,G-552,1490,M1V,3,1,1,2,3,0.45022096210282886,1.772,2.8333283042188837,-0.11745275273908724,3.9358451719431082
11/8/2024,G-552,1490,M2H,3,1,1,2,3,0.3516929569878718,1.793,3.835133483179051,0.034170610864820136,5.098197061881543
11/8/2024,G-552,1490,M2V,3,1,1,2,3,0.41825847424246504,1.813,2.904154394177759,-0.10021625146479624,4.334640208506573
11/8/2024,G-552,1490,M2A,3,1,1,2,3,0.6398082813915869,3.504,5.416509073709911,0.33284727713840084,5.476640584236858
11/8/2024,G-552,1490,P1H,1,1,1,1,1,583.9880442590244,1543.0,2.98416608234107,1.2213139324394344,2.642177378747178
11/8/2024,G-552,1490,P1V,1,1,1,1,1,759.0468517079995,1599.8,1.7980635088697532,0.4942173417653226,2.107643284996369
11/8/2024,G-552,1490,P2H,1,1,1,1,1,633.6638535937483,1596.3,2.4742052958294942,0.9751379690106997,2.519159000386051
11/8/2024,G-552,1490,P2V,1,1,1,1,1,619.1393368868534,1593.2,2.7906974575538115,1.1296421167801485,2.573249517646388
11/8/2024,G-552,1490,P2A,1,1,1,1,1,676.6063462677362,1599.8,2.246278519406077,0.8590895776416012,2.3644472281774194
12/4/2025,G-610B,2960,M1H,2,1,1,2,2,0.8572739573748662,2.839,2.81786774904011,-0.024386138660069848,3.311660147350738
12/4/2025,G-610B,2960,M1V,2,1,1,2,2,0.49995332465734993,1.872,2.8681297210415493,0.02972751731690551,3.744349537595338
12/4/2025,G-610B,2960,M2H,2,1,2,2,2,1.0427244179056983,4.169,3.4578273783257263,0.09688788737667085,3.9981800832605368
12/4/2025,G-610B,2960,M2V,2,1,2,2,2,0.8217288339473839,3.547,3.5618993228468794,-0.03271678550534312,4.316509112818983
